Loan_amt,Loan_term,emp_length,Home,Income_source_verified,Income_verified,Income_thou,Debt_income,delinq_2yrs,Credit_history_length,FICO,open_acc,Derogatory_recs,Revol_balance,Revol_util,Loan_rate
3200,36,10+ years,MORTGAGE,0,0,43,27.07,0,9.756164384,722,10,0,2757,0.163,15.59
20000,36,7 years,MORTGAGE,1,0,90,14.59,0,16.34246575,767,10,0,19297,0.385,6.62
35000,60,10+ years,MORTGAGE,0,1,86,17.72,2,25.6,672,9,0,10767,0.321,18.24
16000,36,8 years,MORTGAGE,0,1,75,19.79,0,12.00547945,682,16,0,26119,0.859,13.35
24000,60,10+ years,MORTGAGE,1,0,102.5,22.81,1,31.27123288,697,11,0,5235,0.252,10.49
20000,36,5 years,MORTGAGE,1,0,85,12.61,0,18.84657534,797,11,0,17928,0.191,6.03
28000,36,8 years,MORTGAGE,1,0,80,16.26,0,19.68219178,722,9,0,31489,0.709,8.39
9600,36,3 years,RENT,1,0,86,15.14,0,18.9260274,787,13,0,11960,0.172,6.03
8400,36,3 years,RENT,0,0,50,21.1,0,18.9260274,677,9,0,15881,0.606,7.12
18000,60,10+ years,MORTGAGE,0,0,52,19.5,0,18.34246575,712,14,0,26661,0.653,13.98
16800,36,< 1 year,OWN,0,0,78,27.92,0,22.17808219,697,12,0,46804,0.601,7.69
8450,36,8 years,RENT,0,0,75,12.1,0,11.09041096,752,8,0,11399,0.339,6.49
10500,36,10+ years,MORTGAGE,0,0,54,29.76,0,16.34246575,697,10,0,17384,0.971,16.99
15000,60,< 1 year,RENT,0,1,65,14.36,0,10.25479452,682,11,0,8756,0.436,16.99
13625,36,7 years,RENT,0,0,38,10.5,0,9.336986301,687,10,0,7198,0.49,13.35
24175,60,8 years,MORTGAGE,1,0,55,22.19,0,20.17808219,712,13,0,35262,0.683,16.99
20000,36,< 1 year,RENT,1,0,105,5.26,0,23.85205479,707,22,0,21816,0.292,7.9
14400,60,6 years,RENT,1,0,60,17.62,1,11.67671233,697,20,0,15141,0.418,11.67
30000,60,3 years,MORTGAGE,0,1,160,8.95,0,8.756164384,732,17,1,16442,0.192,11.67
24800,36,< 1 year,RENT,1,0,98.5,19.99,0,14.42465753,692,8,0,26951,0.618,7.9
20175,36,8 years,RENT,1,0,45,17.68,0,13.84383562,692,7,0,17307,0.411,10.99
15000,36,5 years,RENT,0,1,143,18.72,0,10.25479452,722,13,0,20960,0.296,7.62
6100,36,10+ years,MORTGAGE,0,0,51,12.94,0,16.51232877,677,11,1,11830,0.607,24.08
5750,36,9 years,MORTGAGE,0,0,80,22.24,0,15.42739726,682,14,0,37401,0.573,14.98
6100,36,5 years,RENT,0,0,80,12.69,0,9.087671233,737,11,0,8786,0.392,7.9
14750,60,5 years,RENT,1,0,33,12.76,0,11.42465753,697,6,0,13354,0.678,13.35
24000,36,7 years,RENT,1,0,133.5,12.32,0,21.84931507,767,15,0,33165,0.239,6.03
10000,36,10+ years,OWN,0,0,100,13.6,0,9.002739726,687,5,1,9455,0.822,7.69
6000,36,1 year,RENT,1,0,82.288,23.39,0,10.08767123,677,12,0,14097,0.844,14.16
8000,36,< 1 year,RENT,1,0,42.2,5.72,0,7.589041096,732,10,0,5953,0.346,8.9
17900,60,2 years,RENT,1,0,65,27.01,0,4.915068493,667,17,0,37485,0.771,19.52
10000,60,10+ years,MORTGAGE,0,0,90,3.29,0,16.51232877,752,7,0,4419,0.181,10.99
30000,60,4 years,MORTGAGE,0,1,162,4.99,0,12.67671233,712,4,0,3966,0.185,12.99
17600,36,2 years,RENT,0,0,82,16.24,0,15.42739726,707,11,0,19041,0.862,10.99
35000,60,1 year,MORTGAGE,0,1,123.5,14.88,0,16.42739726,742,10,0,18586,0.617,11.44
15300,36,5 years,RENT,0,0,95,7.13,0,14.42465753,722,12,0,13606,0.508,8.9
30225,36,3 years,RENT,1,0,72,25.4,0,29.52054795,692,7,0,57709,0.859,19.22
12950,60,10+ years,RENT,1,0,96,20.86,0,17.67945205,682,18,0,23344,0.539,16.29
10000,60,10+ years,RENT,1,0,32,31.66,0,13.84383562,672,14,1,12689,0.554,18.24
8000,36,9 years,MORTGAGE,0,0,60,14.96,0,17.26027397,717,10,0,19951,0.465,7.69
10000,36,7 years,RENT,0,0,35,21.4,0,13.17260274,687,11,0,9265,0.568,13.35
18000,36,7 years,MORTGAGE,0,0,108,19.52,0,12.67671233,702,9,0,4104,0.651,18.99
20000,36,3 years,MORTGAGE,1,0,65,27.73,0,15.76164384,712,13,0,27286,0.601,12.49
20000,36,2 years,MORTGAGE,1,0,136,12.44,0,17.76164384,762,11,0,12768,0.078,6.03
20000,36,8 years,MORTGAGE,0,1,98,5.87,0,21.0109589,682,14,0,44690,0.735,7.12
12000,36,< 1 year,RENT,0,0,100,20.48,0,7.917808219,707,10,0,7878,0.765,7.9
21400,60,n/a,RENT,1,0,61,21.99,0,27.52054795,707,5,0,22847,0.757,14.99
28000,36,10+ years,MORTGAGE,0,0,150,7.96,0,21.17808219,717,10,0,16414,0.588,7.9
20675,36,2 years,MORTGAGE,0,1,50.128,12.69,0,18.67945205,682,7,0,31217,0.839,17.57
